Index,bladder,femur-left,femur-right,heart,kidney-left,kidney-right,liver,lung-left,lung-right,pancreas,spleen
image_00000,0,0,0,0,0,0,1,0,0,0,0
image_00001,0,0,0,0,0,0,0,0,0,0,1
image_00002,0,0,0,0,0,0,0,1,0,0,0
image_00003,0,0,0,0,0,0,0,0,1,0,0
image_00004,0,0,0,0,0,0,0,0,1,0,0
image_00005,0,0,0,0,0,0,0,0,1,0,0
image_00006,0,0,0,0,1,0,0,0,0,0,0
image_00007,0,0,0,0,0,1,0,0,0,0,0
image_00008,0,0,0,0,0,0,0,0,1,0,0
image_00009,0,0,0,0,0,0,0,1,0,0,0
image_00010,0,0,0,0,0,0,0,1,0,0,0
image_00011,0,0,0,0,0,0,0,0,1,0,0
image_00012,0,0,0,0,0,0,1,0,0,0,0
image_00013,0,0,0,0,1,0,0,0,0,0,0
image_00014,0,1,0,0,0,0,0,0,0,0,0
image_00015,0,0,0,0,0,0,1,0,0,0,0
image_00016,0,0,0,1,0,0,0,0,0,0,0
image_00017,0,0,0,0,0,0,1,0,0,0,0
image_00018,0,0,0,0,0,0,0,1,0,0,0
image_00019,0,0,0,0,0,1,0,0,0,0,0
image_00020,0,1,0,0,0,0,0,0,0,0,0
image_00021,0,0,0,0,0,0,1,0,0,0,0
image_00022,0,0,0,0,0,0,0,1,0,0,0
image_00023,0,0,0,0,1,0,0,0,0,0,0
image_00024,0,0,0,0,0,1,0,0,0,0,0
image_00025,0,0,0,0,0,0,0,1,0,0,0
image_00026,0,0,0,0,0,0,1,0,0,0,0
image_00027,0,1,0,0,0,0,0,0,0,0,0
image_00028,0,0,0,0,0,0,0,0,1,0,0
image_00029,0,0,0,0,0,0,0,1,0,0,0
image_00030,0,0,0,0,0,0,0,1,0,0,0
image_00031,0,0,0,0,0,0,0,0,1,0,0
image_00032,0,0,0,0,0,0,0,0,1,0,0
image_00033,0,0,0,0,0,0,0,0,0,0,1
image_00034,0,0,0,0,0,0,1,0,0,0,0
image_00035,0,0,0,0,0,0,0,0,0,0,1
image_00036,0,0,0,0,0,0,1,0,0,0,0
image_00037,0,0,0,0,0,0,0,0,0,0,1
image_00038,0,0,0,0,0,0,1,0,0,0,0
image_00039,0,0,1,0,0,0,0,0,0,0,0
image_00040,0,0,0,0,0,0,0,0,1,0,0
image_00041,0,0,0,0,1,0,0,0,0,0,0
image_00042,0,0,0,0,0,0,0,0,0,1,0
image_00043,0,1,0,0,0,0,0,0,0,0,0
image_00044,0,0,0,0,1,0,0,0,0,0,0
image_00045,0,0,0,0,0,1,0,0,0,0,0
image_00046,0,0,0,0,0,0,0,1,0,0,0
image_00047,0,0,0,0,0,1,0,0,0,0,0
image_00048,1,0,0,0,0,0,0,0,0,0,0
image_00049,0,0,0,0,0,0,0,0,0,1,0
image_00050,0,0,0,0,0,0,0,1,0,0,0
image_00051,0,0,0,0,0,0,0,1,0,0,0
image_00052,0,0,0,0,0,1,0,0,0,0,0
image_00053,0,0,0,0,0,0,0,1,0,0,0
image_00054,0,0,0,0,0,0,1,0,0,0,0
image_00055,0,0,0,1,0,0,0,0,0,0,0
image_00056,0,0,0,0,0,0,1,0,0,0,0
image_00057,0,0,0,0,1,0,0,0,0,0,0
image_00058,0,0,0,0,0,0,0,1,0,0,0
image_00059,0,0,1,0,0,0,0,0,0,0,0
image_00060,0,0,0,0,0,0,0,0,0,1,0
image_00061,0,0,0,0,0,0,0,0,1,0,0
image_00062,0,0,0,0,0,0,0,0,1,0,0
image_00063,0,0,0,0,0,0,1,0,0,0,0
image_00064,0,0,0,0,0,1,0,0,0,0,0
image_00065,0,0,0,0,0,1,0,0,0,0,0
image_00066,0,0,0,0,0,0,1,0,0,0,0
image_00067,0,0,0,0,0,0,0,0,1,0,0
image_00068,0,0,0,0,0,0,0,1,0,0,0
image_00069,0,0,0,0,0,0,0,0,1,0,0
image_00070,0,0,0,0,0,0,1,0,0,0,0
image_00071,0,0,0,0,0,0,1,0,0,0,0
image_00072,0,0,0,0,0,1,0,0,0,0,0
image_00073,0,0,0,0,1,0,0,0,0,0,0
image_00074,0,0,0,0,0,0,1,0,0,0,0
image_00075,0,0,0,1,0,0,0,0,0,0,0
image_00076,0,0,0,0,0,0,0,0,1,0,0
image_00077,0,0,0,0,0,0,1,0,0,0,0
image_00078,0,0,0,0,1,0,0,0,0,0,0
image_00079,0,0,1,0,0,0,0,0,0,0,0
image_00080,0,0,0,0,0,1,0,0,0,0,0
image_00081,0,0,0,0,0,0,0,1,0,0,0
image_00082,1,0,0,0,0,0,0,0,0,0,0
image_00083,0,0,0,0,0,0,0,1,0,0,0
image_00084,0,0,0,0,1,0,0,0,0,0,0
image_00085,0,0,0,0,0,0,0,0,1,0,0
image_00086,0,0,0,0,0,0,0,0,1,0,0
image_00087,0,0,0,1,0,0,0,0,0,0,0
image_00088,0,0,0,0,0,0,1,0,0,0,0
image_00089,0,0,0,1,0,0,0,0,0,0,0
image_00090,0,0,0,0,0,0,0,0,1,0,0
image_00091,0,0,0,0,0,0,0,1,0,0,0
image_00092,0,0,0,0,0,0,1,0,0,0,0
image_00093,0,0,0,0,0,1,0,0,0,0,0
image_00094,0,0,0,0,0,0,0,1,0,0,0
image_00095,1,0,0,0,0,0,0,0,0,0,0
image_00096,0,0,0,0,0,0,0,0,1,0,0
image_00097,0,0,0,0,0,0,0,1,0,0,0
image_00098,0,0,0,0,0,0,1,0,0,0,0
image_00099,0,0,0,0,0,0,0,1,0,0,0
image_00100,0,0,0,0,0,0,0,0,1,0,0
image_00101,0,0,0,0,0,0,0,0,1,0,0
image_00102,0,0,0,0,0,0,0,1,0,0,0
image_00103,0,0,0,0,0,1,0,0,0,0,0
image_00104,0,0,0,0,0,0,1,0,0,0,0
image_00105,0,0,0,0,0,0,1,0,0,0,0
image_00106,1,0,0,0,0,0,0,0,0,0,0
image_00107,0,0,0,0,1,0,0,0,0,0,0
image_00108,0,0,0,0,0,0,1,0,0,0,0
image_00109,0,0,0,0,0,0,0,1,0,0,0
image_00110,0,0,0,0,0,0,1,0,0,0,0
image_00111,0,0,0,0,0,0,1,0,0,0,0
image_00112,0,0,0,0,0,0,0,1,0,0,0
image_00113,0,0,0,0,1,0,0,0,0,0,0
image_00114,0,0,0,0,0,1,0,0,0,0,0
image_00115,0,0,0,0,1,0,0,0,0,0,0
image_00116,0,0,0,0,0,0,0,0,0,0,1
image_00117,0,0,0,0,0,0,0,0,0,0,1
image_00118,0,0,0,0,1,0,0,0,0,0,0
image_00119,0,0,0,0,0,0,1,0,0,0,0
image_00120,0,0,0,0,0,0,0,0,0,1,0
image_00121,0,0,0,0,1,0,0,0,0,0,0
image_00122,0,0,0,0,0,0,0,0,1,0,0
image_00123,0,0,0,0,0,0,0,0,1,0,0
image_00124,0,0,0,0,0,0,0,1,0,0,0
image_00125,0,0,0,0,1,0,0,0,0,0,0
image_00126,0,0,0,1,0,0,0,0,0,0,0
image_00127,0,0,0,0,0,0,0,0,1,0,0
image_00128,0,0,0,0,0,1,0,0,0,0,0
image_00129,0,0,0,0,1,0,0,0,0,0,0
image_00130,0,0,0,0,0,0,0,0,0,1,0
image_00131,1,0,0,0,0,0,0,0,0,0,0
image_00132,0,0,0,0,0,0,1,0,0,0,0
image_00133,0,0,0,0,0,0,1,0,0,0,0
image_00134,0,0,0,0,0,0,0,0,0,1,0
image_00135,0,0,0,0,0,0,0,0,0,1,0
image_00136,0,0,0,0,0,0,0,0,0,1,0
image_00137,0,0,0,0,0,0,0,0,0,1,0
image_00138,0,0,0,0,0,0,1,0,0,0,0
image_00139,0,0,0,0,0,0,0,0,1,0,0
image_00140,0,0,0,0,0,0,1,0,0,0,0
image_00141,1,0,0,0,0,0,0,0,0,0,0
image_00142,0,0,0,0,0,0,0,1,0,0,0
image_00143,0,0,0,0,0,0,0,0,0,1,0
image_00144,0,0,0,1,0,0,0,0,0,0,0
image_00145,0,0,0,0,0,0,1,0,0,0,0
image_00146,0,1,0,0,0,0,0,0,0,0,0
image_00147,0,0,0,0,0,0,0,0,0,0,1
image_00148,0,0,0,0,1,0,0,0,0,0,0
image_00149,0,0,0,0,0,0,0,0,0,1,0
image_00150,0,0,0,1,0,0,0,0,0,0,0
image_00151,0,1,0,0,0,0,0,0,0,0,0
image_00152,0,0,0,0,0,1,0,0,0,0,0
image_00153,0,0,0,0,0,0,0,0,1,0,0
image_00154,0,0,0,0,0,0,0,1,0,0,0
image_00155,0,0,0,0,0,0,0,0,0,1,0
image_00156,0,0,0,0,0,1,0,0,0,0,0
image_00157,0,0,0,0,0,0,1,0,0,0,0
image_00158,1,0,0,0,0,0,0,0,0,0,0
image_00159,0,0,0,0,0,0,0,0,0,0,1
image_00160,0,0,0,0,1,0,0,0,0,0,0
image_00161,0,0,0,0,0,1,0,0,0,0,0
image_00162,0,0,0,0,0,0,0,0,0,0,1
image_00163,0,0,0,0,0,0,0,0,1,0,0
image_00164,0,0,0,0,0,1,0,0,0,0,0
image_00165,0,0,0,0,0,0,0,0,0,1,0
image_00166,0,0,0,0,1,0,0,0,0,0,0
image_00167,0,0,0,0,0,0,0,0,0,1,0
image_00168,0,0,0,0,0,0,1,0,0,0,0
image_00169,0,0,0,0,0,1,0,0,0,0,0
image_00170,0,0,0,0,0,0,0,1,0,0,0
image_00171,0,0,0,0,0,1,0,0,0,0,0
image_00172,0,0,0,0,0,1,0,0,0,0,0
image_00173,1,0,0,0,0,0,0,0,0,0,0
image_00174,0,0,0,0,0,0,0,0,0,0,1
image_00175,0,0,0,0,0,0,0,0,1,0,0
image_00176,0,0,0,0,0,1,0,0,0,0,0
image_00177,0,0,0,0,0,0,0,0,0,0,1
image_00178,0,0,0,0,0,0,0,0,1,0,0
image_00179,0,0,0,0,0,0,0,0,0,1,0
image_00180,0,0,0,0,1,0,0,0,0,0,0
image_00181,0,0,0,0,1,0,0,0,0,0,0
image_00182,0,0,0,0,0,0,0,0,0,1,0
image_00183,0,0,0,0,0,1,0,0,0,0,0
image_00184,0,0,0,0,0,0,0,1,0,0,0
image_00185,0,0,0,0,1,0,0,0,0,0,0
image_00186,0,0,0,0,0,0,0,0,0,1,0
image_00187,0,0,0,0,0,0,0,0,0,0,1
image_00188,0,0,1,0,0,0,0,0,0,0,0
image_00189,0,0,0,0,0,0,1,0,0,0,0
image_00190,0,0,0,0,1,0,0,0,0,0,0
image_00191,0,0,0,0,0,0,1,0,0,0,0
image_00192,0,0,0,0,0,0,0,1,0,0,0
image_00193,0,0,0,0,0,0,1,0,0,0,0
image_00194,0,0,1,0,0,0,0,0,0,0,0
image_00195,0,0,0,0,1,0,0,0,0,0,0
image_00196,0,0,0,0,0,0,0,0,1,0,0
image_00197,0,0,0,0,0,1,0,0,0,0,0
image_00198,0,0,0,0,1,0,0,0,0,0,0
image_00199,0,0,1,0,0,0,0,0,0,0,0
image_00200,0,1,0,0,0,0,0,0,0,0,0
image_00201,0,0,0,0,0,0,0,1,0,0,0
image_00202,0,0,0,1,0,0,0,0,0,0,0
image_00203,0,0,0,0,0,0,0,1,0,0,0
image_00204,0,0,0,0,0,0,0,1,0,0,0
image_00205,0,0,0,0,0,0,0,1,0,0,0
image_00206,0,0,0,0,0,0,1,0,0,0,0
image_00207,0,0,0,0,0,1,0,0,0,0,0
image_00208,0,0,0,0,0,0,0,0,1,0,0
image_00209,0,1,0,0,0,0,0,0,0,0,0
image_00210,0,0,0,0,1,0,0,0,0,0,0
image_00211,0,0,0,0,0,0,1,0,0,0,0
image_00212,0,0,0,0,0,0,0,0,0,0,1
image_00213,0,0,0,0,0,0,0,0,1,0,0
image_00214,0,0,0,0,0,0,0,0,0,1,0
image_00215,0,0,0,1,0,0,0,0,0,0,0
image_00216,0,0,0,0,0,0,0,0,1,0,0
image_00217,0,0,0,0,0,0,0,0,0,1,0
image_00218,0,0,0,0,0,0,1,0,0,0,0
image_00219,0,0,0,0,1,0,0,0,0,0,0
image_00220,0,0,0,0,0,0,0,0,0,0,1
image_00221,0,0,0,0,1,0,0,0,0,0,0
image_00222,0,0,0,0,0,0,0,0,0,1,0
image_00223,0,0,0,0,0,0,1,0,0,0,0
image_00224,0,0,0,0,0,0,0,0,0,0,1
image_00225,0,0,0,0,0,0,1,0,0,0,0
image_00226,0,0,0,0,0,0,0,1,0,0,0
image_00227,0,0,0,0,0,0,1,0,0,0,0
image_00228,0,0,0,0,0,1,0,0,0,0,0
image_00229,0,0,1,0,0,0,0,0,0,0,0
image_00230,0,0,0,1,0,0,0,0,0,0,0
image_00231,0,0,0,0,0,0,0,0,1,0,0
image_00232,0,0,0,0,0,0,1,0,0,0,0
image_00233,0,0,1,0,0,0,0,0,0,0,0
image_00234,0,0,0,0,0,0,0,0,0,0,1
image_00235,0,0,0,0,1,0,0,0,0,0,0
image_00236,0,0,0,0,0,0,0,1,0,0,0
image_00237,0,0,0,0,1,0,0,0,0,0,0
image_00238,0,0,0,0,0,1,0,0,0,0,0
image_00239,0,0,0,0,0,0,0,1,0,0,0
image_00240,0,0,0,0,0,0,0,1,0,0,0
image_00241,1,0,0,0,0,0,0,0,0,0,0
image_00242,0,0,0,0,0,0,0,0,1,0,0
image_00243,0,0,0,0,0,0,0,0,0,1,0
image_00244,0,0,0,0,0,1,0,0,0,0,0
image_00245,0,0,0,0,0,0,1,0,0,0,0
image_00246,0,0,0,0,0,0,0,0,0,0,1
image_00247,0,0,0,0,1,0,0,0,0,0,0
